         CountryName   ppp expec   mort  IQ  god  life  trade
           Vietnam  2700 74.00  14.90  94 81.0 74.22 158.11
             Japan 35220 83.00   3.50 105 65.0 82.51  31.45
            Sweden 38180 81.00   3.20  99 64.0 80.92  73.27
     CzechRepublic 22790 77.00   3.90  98 61.0 76.71 134.02
           Estonia 19280 73.00   5.60  99 49.0 72.91 121.08
           Denmark 37280 78.00   4.40  98 48.0 78.28  67.24
            France 34400 81.00   4.30  98 44.0 80.97  46.08
           Belgium 34760 80.00   4.60  99 43.0 80.22 187.79
           Germany 35940 80.00   4.40  99 42.0 79.69  73.20
       Netherlands 41670 80.00   5.20 100 42.0 80.23 138.68
     UnitedKingdom 36130 79.00   5.80 100 41.5 79.33  40.76
          Slovenia 26910 78.00   3.90  96 35.0 77.74 130.36
          Bulgaria 11950 73.00  11.80  93 34.0 72.68 123.00
           Hungary 17790 73.00   6.80  98 32.0 73.09 139.50
            Norway 58500 80.00   3.60 100 31.0 80.40  56.88
        SouthKorea 28120 78.97   4.84 106 30.0 78.97  92.27
           Finland 35660 79.00   3.50  99 28.0 79.26  68.85
 RussianFederation 15630 68.00  14.50  97 27.0 67.58  45.47
         Australia 34040 81.00   5.70  98 25.0 81.29  38.19
            Canada 36220 81.00   5.70  99 22.0 80.57  58.27
        NewZealand 25090 80.00   5.80  99 22.0 80.12  49.99
            Latvia 16740 71.00   8.60  98 20.0 71.22  77.22
          Mongolia  3480 67.00  43.30 101 20.0 66.80 117.07
           Ukraine  7210 68.00  24.20  97 20.0 68.22  83.77
           Austria 37680 80.00   4.40 100 18.0 80.03  88.61
           Belarus 12150 70.00  13.40  97 17.0 70.20 120.02
    SlovakRepublic 21300 74.00   7.80  96 17.0 74.19 146.54
       Switzerland 46460 82.00   4.90 101 17.0 81.72  78.03
            Greece 28470 80.00   4.10  92 16.0 79.69  29.02
           Iceland 25220 81.00   2.50 101 16.0 81.19  69.24
            Israel 27450 81.00   5.00  95 15.0 80.60  63.45
             Spain 31130 80.87   4.30  98 15.0 80.87  41.79
           Armenia  6310 73.00  24.30  94 14.0 73.40  45.99
         Lithuania 18210 71.00   8.20  91 13.0 70.88 115.20
         Singapore 47940 80.00   2.70 108 13.0 80.49 361.62
             China  6020 73.00  21.90 105 12.0 73.00  59.20
        Kazakhstan  9690 66.00  31.60  94 12.0 66.41  81.74
           Uruguay 12540 76.00  14.00  96 12.0 75.86  46.24
      UnitedStates 46970 78.00   7.60  98 10.5 77.99  24.60
 TrinidadandTobago 23950 70.00  35.30  85  9.0 69.74 114.72
           Albania  7950 76.00  15.18  90  8.0 76.50  53.54
          Cambodia  1820 60.00  90.90  91  7.0 59.53 104.31
           Croatia 18420 76.00   5.80  90  7.0 75.67  64.67
 DominicanRepublic  7890 72.00  37.60  82  7.0 72.30  51.19
    KyrgyzRepublic  2140 68.00  38.40  90  7.0 67.70 112.66
             Italy 30250 81.00   3.70 102  6.0 81.31  47.59
           Moldova  3210 68.00  18.20  96  6.0 68.35 107.43
           Ireland 37350 79.00   4.20  92  5.0 79.39  77.34
              Laos  2040 64.75  70.20  89  5.0 64.75  44.56
        Mozambique   770 42.00 168.47  64  5.0 42.07  68.05
